Date,Time,Roads,Vehicles,Total People,Pedestrians,Bicyclists,Injuries,Major Injuries,Fatalities,city
2011/1/1,3:36 a.m.,BENSON ST & FRANKFORD AV,2,3,1,0,0,0,1,PHI
2011/1/1,21:00 p.m.,CONSHOHOCKEN AV,1,2,1,0,1,1,0,PHI
2011/1/1,17:45 p.m.,WOODLAND AV,1,2,1,0,0,0,1,PHI
2011/1/1,3:10 a.m.,GLENWOOD AV,1,2,1,0,1,1,0,PHI
2011/1/1,8:00 a.m.,CAMBRIA ST & FOURTH ST,1,2,1,0,1,1,0,PHI
2012/1/1,20:16 p.m.,CASTOR AV,1,2,1,0,0,0,1,PHI
2012/1/1,12:51 p.m.,COULTER ST & WAYNE AV,1,2,1,0,1,1,0,PHI
2012/1/1,17:43 p.m.,CALLOWHILL ST & SIXTH ST,1,2,1,0,1,1,0,PHI
2012/1/1,15:21 p.m.,LARGE ST,1,5,1,0,1,1,0,PHI
2012/1/1,15:39 p.m.,FORTYNINTH ST & WOODLAND AV,1,2,1,0,0,0,1,PHI
2012/1/1,5:56 a.m.,ROOSEVELT BL & WELSH RD,1,2,1,0,0,0,1,PHI
2012/1/1,22:44 p.m.,B ST & LEHIGH AV,1,3,1,0,2,1,0,PHI
2013/1/1,2:35 a.m.,CITY AV,1,2,1,0,0,0,1,PHI
2013/1/1,12:13 p.m.,APPLE ST & SHURS LN,1,2,0,1,1,1,0,PHI
2013/1/1,19:18 p.m.,OXFORD AV & PRATT ST,1,2,1,0,1,1,0,PHI
2013/1/1,14:59 p.m.,MARKET ST & TWENTIETH ST,1,2,1,0,1,1,0,PHI
2013/1/1,17:31 p.m.,PENROSE AV,2,3,1,0,0,0,1,PHI
2013/1/1,18:16 p.m.,KNIGHTS RD,1,2,1,0,0,0,1,PHI
2013/1/1,23:50 p.m.,DELAWARE EX,1,2,1,0,0,0,1,PHI
2013/1/1,7:03 a.m.,COTTMAN AV & TABOR AV,1,2,1,0,0,0,1,PHI
2013/1/1,23:19 p.m.,VALLEY ST & WAKELING ST,1,2,1,0,1,1,0,PHI
2014/1/1,8:00 a.m.,RHAWN ST & TORRESDALE AV,1,2,1,0,1,1,0,PHI
2014/1/1,22:45 p.m.,ROOSEVELT BL,1,2,1,0,0,0,1,PHI
2014/1/1,6:53 a.m.,POINT BREEZE AV & TASKER ST,1,2,1,0,1,1,0,PHI
2014/1/1,12:20 a.m.,RAMP RD,1,5,1,0,1,1,0,PHI
2014/1/1,18:18 p.m.,ISLAND AV & LINDBERGH BL,1,2,1,0,0,0,1,PHI
2015/1/1,18:18 p.m.,62ND ST & CHESTNUT ST,1,2,1,0,0,0,1,PHI
2015/1/1,15:49 p.m.,BROAD ST,1,3,1,0,1,1,0,PHI
2016/1/1,6:40 a.m.,BUSTLETON AV & MOWER ST,1,2,1,0,0,0,1,PHI
2016/1/1,8:00 a.m.,E WESTMORELAND ST & I ST & KENSINGTON AV,1,2,1,0,1,1,0,PHI
2016/1/1,2:54 a.m.,5TH ST & HUNTING PARK AV,1,2,1,0,1,1,0,PHI
2016/1/1,12:47 a.m.,HANCOCK ST & LEHIGH AV,1,2,1,0,1,1,0,PHI
2016/1/1,17:33 p.m.,CHRISTOPHER COLUMBUS BL & TASKER ST,1,2,1,0,0,0,1,PHI
2016/1/1,20:22 p.m.,BROAD ST,1,2,1,0,1,1,0,PHI
2016/1/1,20:13 p.m.,CASTOR AV,1,2,1,0,1,1,0,PHI
2016/1/1,16:30 p.m.,WASHINGTON AV,1,2,0,1,1,1,0,PHI
2016/1/1,19:30 p.m.,CUMBERLAND ST & RICHMOND ST,1,2,1,0,1,1,0,PHI
2017/1/1,6:40 a.m.,LEHIGH AV,1,2,1,0,1,1,0,PHI
2017/1/1,11:20 a.m.,ROOSEVELT BL,1,2,1,0,1,1,0,PHI
2017/1/1,9:57 a.m.,40TH ST & MARKET ST,1,2,1,0,1,1,0,PHI
2017/1/1,9:43 a.m.,40TH ST & LOCUST ST,1,3,0,1,1,1,0,PHI
2017/1/1,15:12 p.m.,NORRIS ST & WARNOCK ST,1,2,1,0,1,1,0,PHI
2017/1/1,18:48 p.m.,ROOSEVELT BL,1,2,1,0,1,1,0,PHI
2017/1/1,13:55 p.m.,10TH ST & RACE ST,1,2,1,0,1,1,0,PHI
2017/1/1,19:11 p.m.,LINCOLN DR & MT PLEASANT AV,1,3,2,0,2,1,0,PHI
2017/1/1,19:56 p.m.,57TH ST & GIRARD AV,1,3,2,0,1,0,1,PHI
2017/1/1,11:29 a.m.,COTTMAN AV,1,2,1,0,0,0,1,PHI
2017/1/1,9:00 a.m.,ALLEGHENY AV,2,4,1,0,3,1,0,PHI
2017/1/1,23:42 p.m.,LARGE ST & ROOSEVELT BL,1,4,2,0,0,0,2,PHI
2017/1/1,7:02 a.m.,6TH ST & FISHER AV,1,2,1,0,1,1,0,PHI
2017/1/1,18:25 p.m.,ASHDALE ST & C ST,1,2,1,0,1,1,0,PHI
2017/1/1,18:44 p.m.,BROAD ST & BUTLER ST,1,2,1,0,1,1,0,PHI
2017/1/1,1:39 a.m.,12TH ST & CHEW AV,1,2,1,0,0,0,1,PHI
2017/1/1,17:55 p.m.,11TH ST & NORRIS ST,1,2,1,0,1,1,0,PHI
2011/2/1,16:37 p.m.,N FRONT ST,1,2,1,0,0,0,1,PHI
2011/2/1,22:20 p.m.,ARCH ST,1,2,1,0,1,1,0,PHI
2011/2/1,99:99 p.m.,TWELFTH ST,1,2,1,0,1,1,0,PHI
2011/2/1,17:00 p.m.,PASSYUNK AV & RITNER ST,1,2,1,0,1,1,0,PHI
2011/2/1,20:06 p.m.,TABOR RD,1,3,1,0,1,1,0,PHI
2011/2/1,18:56 p.m.,CHAMPLOST ST & TENTH ST,1,3,2,0,2,1,0,PHI
2011/2/1,5:30 a.m.,GODFREY AV & TABOR AV,1,2,0,1,1,1,0,PHI
2011/2/1,13:33 p.m.,BRANDYWINE ST & BROAD ST,1,2,0,1,1,1,0,PHI
2011/2/1,21:20 p.m.,BROAD ST & MELON ST,1,2,1,0,0,0,1,PHI
2011/2/1,20:14 p.m.,BROAD ST,4,13,2,0,1,0,1,PHI
2011/2/1,8:34 a.m.,BRIDGE ST & RAMP B RD,1,2,1,0,1,1,0,PHI
2012/2/1,15:49 p.m.,BUSTLETON AV & DEVEREAUX AV,1,2,1,0,1,1,0,PHI
2012/2/1,2:20 a.m.,BROAD ST & ERIE AV,1,2,1,0,0,0,1,PHI
2012/2/1,99:99 p.m.,WILLITS RD,1,2,1,0,0,0,1,PHI
2012/2/1,18:43 p.m.,HENRY AV,1,2,1,0,0,0,1,PHI
2012/2/1,18:15 p.m.,CHRISTOPHER COLUMBUS BL,1,2,1,0,1,1,0,PHI
